TEAM_1,TEAM_1_XG,Unnamed: 2,TEAM_2_XG,TEAM_2
PSV Eindhoven,2.1,1–3,3,Union SG
Athletic Club,0.3,0–2,1.3,Arsenal
Tottenham,0.5,1–0,0.5,Villarreal
Benfica,1.4,2–3,1.5,Qarabağ
Juventus,1.9,4–4,1.5,Dortmund
Real Madrid,3.6,2–1,0.8,Marseille
Slavia Prague,3.9,2–2,2.8,Bodø/Glimt
Olympiacos,1.5,0–0,0.3,Pafos FC
Liverpool,2.7,3–2,0.6,Atlético Madrid
Ajax,1.3,0–2,1.2,Inter
Bayern Munich,2.2,3–1,0.7,Chelsea
Paris S-G,3.4,4–0,0.6,Atalanta
Club Brugge,3,4–1,1.5,Monaco
FC Copenhagen,1.9,2–2,1.2,Leverkusen
Manchester City,2.1,2–0,0.2,Napoli
Sporting CP,3.7,4–1,0.7,Qaırat Almaty
Newcastle Utd,1.2,1–2,1.1,Barcelona
Eint Frankfurt,1.2,5–1,1.1,Galatasaray
,,,,
Atalanta,2.5,2–1,0.9,Club Brugge
Chelsea,0.7,1–0,0.9,Benfica
Atlético Madrid,4.3,5–1,0.5,Eint Frankfurt
Inter,4,3–0,0.1,Slavia Prague
Bodø/Glimt,2.5,2–2,1.4,Tottenham
Marseille,1.1,4–0,0.8,Ajax
Qaırat Almaty,0.4,0–5,3.5,Real Madrid
Galatasaray,1.7,1–0,1.7,Liverpool
Pafos FC,0.4,1–5,4.5,Bayern Munich
Union SG,0.9,0–4,2.7,Newcastle Utd
Arsenal,2.9,2–0,0.5,Olympiacos
Qarabağ,1.8,2–0,1,FC Copenhagen
Barcelona,1.3,1–2,1.7,Paris S-G
Leverkusen,1.7,1–1,0.5,PSV Eindhoven
Napoli,0.9,2–1,1.3,Sporting CP
Dortmund,1.1,4–1,0.9,Athletic Club
Monaco,1.4,2–2,1.5,Manchester City
Villarreal,1.7,2–2,1.4,Juventus
,,,,
Barcelona,2.6,6–1,1,Olympiacos
Newcastle Utd,2.6,3–0,0.3,Benfica
Arsenal,2.1,4–0,0.6,Atlético Madrid
Leverkusen,2.3,2–7,2.8,Paris S-G
PSV Eindhoven,2.9,6–2,1.2,Napoli
Villarreal,1.2,0–2,1.3,Manchester City
Union SG,0.9,0–4,4.6,Inter
FC Copenhagen,0.8,2–4,1.6,Dortmund
Qaırat Almaty,1.3,0–0,1.7,Pafos FC
Athletic Club,3.4,3–1,0.6,Qarabağ
Galatasaray,3.8,3–1,1.2,Bodø/Glimt
Sporting CP,1.1,2–1,0.5,Marseille
Chelsea,3.6,5–1,1.1,Ajax
Bayern Munich,4.1,4–0,0.3,Club Brugge
Atalanta,2.5,0–0,0.8,Slavia Prague
Real Madrid,2.7,1–0,0.9,Juventus
Monaco,2.4,0–0,0.9,Tottenham
Eint Frankfurt,0.3,1–5,3.2,Liverpool
,,,,
Slavia Prague,0.5,0–3,1.7,Arsenal
Napoli,1.8,0–0,0.4,Eint Frankfurt
Tottenham,3.3,4–0,0.4,FC Copenhagen
Liverpool,2.3,1–0,0.5,Real Madrid
Juventus,1.5,1–1,0.1,Sporting CP
Atlético Madrid,2.3,3–1,1.1,Union SG
Bodø/Glimt,1.6,0–1,1.3,Monaco
Paris S-G,1.9,1–2,1.5,Bayern Munich
Olympiacos,0.9,1–1,0.4,PSV Eindhoven
Pafos FC,0.7,1–0,1.8,Villarreal
Manchester City,1.9,4–1,1,Dortmund
Benfica,1.6,0–1,0.7,Leverkusen
Newcastle Utd,1.2,2–0,0.6,Athletic Club
Marseille,0.9,0–1,1.3,Atalanta
Inter,2.2,2–1,0.2,Qaırat Almaty
Club Brugge,2.2,3–3,2.4,Barcelona
Ajax,0.9,0–3,2.5,Galatasaray
Qarabağ,1.8,2–2,1.3,Chelsea
,,,,
Ajax,1,0–2,1.2,Benfica
Manchester City,1.8,0–2,0.5,Leverkusen
Chelsea,1.8,3–0,0.7,Barcelona
Galatasaray,1.2,0–1,1.6,Union SG
Dortmund,3.2,4–0,0.8,Villarreal
Slavia Prague,0.6,0–0,1.3,Athletic Club
Bodø/Glimt,1.8,2–3,3.4,Juventus
Marseille,2.1,2–1,1.4,Newcastle Utd
Napoli,3.3,2–0,0.5,Qarabağ
FC Copenhagen,3.2,3–2,1.9,Qaırat Almaty
Pafos FC,1.1,2–2,1.5,Monaco
Liverpool,2.3,1–4,2.2,PSV Eindhoven
Sporting CP,1.7,3–0,0.8,Club Brugge
Arsenal,2.7,3–1,0.7,Bayern Munich
Paris S-G,1.8,5–3,1.8,Tottenham
Eint Frankfurt,0.9,0–3,2.8,Atalanta
Atlético Madrid,1,2–1,1.3,Inter
Olympiacos,1.7,3–4,1.7,Real Madrid
