Team,Massey_Rating_xG,PF_Rating,Massey_Rating_G,Real_points,,
Manchester City,0.596,0.034,0.030,11,,
Real Madrid,0.577,0.050,1.214,15,,
Leverkusen,0.417,0.024,0.618,16,,
Aston Villa,0.278,0.025,0.668,16,,
Dortmund,0.278,0.040,1.268,15,,
Monaco,0.247,0.030,0.554,13,,
Stuttgart,0.192,0.029,-1.046,10,,
Bologna,0.039,0.022,0.153,6,,
Atlético Madrid,-0.052,0.021,0.348,18,,
RB Leipzig,-0.079,0.026,-0.478,3,,
PSV Eindhoven,-0.276,0.027,0.535,14,,
Club Brugge,-0.316,0.019,-0.311,11,,
Milan,-0.325,0.027,0.070,15,,
Girona,-0.372,0.021,-0.953,3,,
Sporting CP,-0.386,0.026,0.394,11,,
Red Star,-0.416,0.023,-0.925,6,,
Feyenoord,-0.419,0.025,-0.682,13,,
Juventus,-0.421,0.021,0.435,12,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
