Team,PF_Rating
Barcelona,0.05757538020908817
Real Madrid,0.04973398117765394
Atalanta,0.049207626812988015
Benfica,0.046310758575215605
Liverpool,0.04585839065668898
Bayern Munich,0.04484838118031536
Dortmund,0.04012010802960655
Paris S-G,0.03579763091158614
Arsenal,0.034811890516551355
Manchester City,0.03358013042947397
Inter,0.03134456805637274
Monaco,0.030063540591786595
Stuttgart,0.029317029697766048
Milan,0.026937832066277364
PSV Eindhoven,0.02661707393239019
RB Leipzig,0.026132915588533517
Sporting CP,0.026037116321671383
Feyenoord,0.024814260939319984
Aston Villa,0.0248077029263468
Celtic,0.023902212277307287
Leverkusen,0.0238254742966726
Red Star,0.023490599064765406
Bologna,0.02169572922395556
Juventus,0.02123009976763295
Girona,0.021143525197837493
Lille,0.020802992702275102
Atlético Madrid,0.020566125310466674
Shakthar,0.019555565448082745
Brest,0.018771947748762913
Club Brugge,0.01866078726376927
Young Boys,0.0158878206390198
Slovan Bratislava,0.014640919916355629
Sturm Graz,0.014479101527858522
Dinamo Zagreb,0.014275445939457277
RB Salzburg,0.01226705379543449
Sparta Prague,0.010888281260713286
